name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Amsterdam, Noord-Holland, Nederland",2009-04-17,16.2,8.9,11.9,16.2,7.5,11.6,8.3,79.6,2.048,100,8.33,rain,0,0,44.9,30.1,31.3,1004.1,52.3,10.1,,,,,2009-04-17T06:38:25,2009-04-17T20:42:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-18,17.2,6.7,11.7,17.2,3.8,10.7,4.6,63.4,0,0,0,,0,0,48.8,31,42.6,,2.2,26.6,,,,,2009-04-18T06:36:14,2009-04-18T20:44:14,0.78,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-19,17.2,7.5,12.3,17.2,5.3,11.5,7.1,71.8,0,0,0,,0,0,42.4,18.6,51.9,,23.2,17.8,,,,,2009-04-19T06:34:04,2009-04-19T20:45:58,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-20,18.2,6.6,12.8,18.2,5.6,12.8,8.1,75.2,0,0,0,,0,0,36.5,26.6,32.5,1024,4.8,11.7,,,,,2009-04-20T06:31:55,2009-04-20T20:47:42,0.85,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-21,16.8,6.5,10.9,16.8,4.9,10,7.2,79.7,0.068,100,4.17,rain,0,0,36.5,23,350.4,,4.9,10.2,,,,,2009-04-21T06:29:46,2009-04-21T20:49:26,0.88,Rain,Clear conditions throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-22,13.6,5.2,9.5,13.6,3.9,8.7,5.2,76.7,0,0,0,,0,0,39.4,24.6,334.5,1025.1,17.3,21.4,,,,,2009-04-22T06:27:39,2009-04-22T20:51:10,0.91,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-23,13.8,3.3,8.8,13.8,1.3,8,4.7,76.8,0,0,0,,0,0,25.4,10.8,24.1,,29.5,22.2,,,,,2009-04-23T06:25:33,2009-04-23T20:52:53,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-24,18.5,6,12.6,18.5,4.6,12,5.5,65.3,0,0,0,,0,0,42.3,30.2,117.5,,6.6,14.8,,,,,2009-04-24T06:23:27,2009-04-24T20:54:37,0.98,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-25,19.2,10.5,13.8,19.2,10.5,13.8,6.1,61,0,0,0,,0,0,43.9,30.2,162.5,,41.3,23.9,,,,,2009-04-25T06:21:23,2009-04-25T20:56:20,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-26,14.7,10.8,12.3,14.7,10.8,12.3,9.7,84.2,2.437,100,8.33,rain,0,0,23.7,13.4,279.2,1011.2,95.7,15.5,,,,,2009-04-26T06:19:20,2009-04-26T20:58:04,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
